"","GEOID","county","bau_pm25_2025","bau_pm25_2045","total_pm25_2025","total_pm25_2045","dac_share","pop","bau_pm25_change_pct","total_pm25_change_pct","diff_pm25"
"1","06001","Alameda",2.04199812509641e-05,1.09348435948012e-05,1.96447606810923e-05,9.27261540182553e-06,0.0918141023750054,1095323.70976213,-46.4502760290981,-52.7985321259208,-6.34825609682269
"2","06003","Alpine",0.00021501194850666,0.00013330222857024,0.00020419158065134,0.00011162714149194,0,728.188402983393,-38.002408937701,-45.3321527088108,-7.32974377110981
"3","06005","Amador",2.65570423439725e-05,1.65615972436611e-05,2.51962617886318e-05,1.38197678343126e-05,0,28686.0079860327,-37.6376441730531,-45.1515151325032,-7.5138709594501
"4","06007","Butte",6.6904765884853e-06,4.14999139981521e-06,6.3298138150012e-06,3.45004397270148e-06,0.037084605936233,132675.620312491,-37.9716624827955,-45.4953325084361,-7.52367002564058
"5","06009","Calaveras",2.70235500332112e-05,1.68614157989049e-05,2.56333013526965e-05,1.40488316319692e-05,0,31358.1589101435,-37.6047344698136,-45.1930461914874,-7.58831172167381
"6","06011","Colusa",4.34594620278947e-06,2.72701644739365e-06,4.11502189140474e-06,2.26052482777938e-06,0,13571.2996617948,-37.2514909263419,-45.066517568204,-7.81502664186214
"7","06013","Contra Costa",1.25253504141887e-05,7.7679622912569e-06,1.19041668593084e-05,6.44739299525731e-06,0.112529061022784,774923.034557971,-37.9820760746353,-45.8391916758475,-7.85711560121218
"8","06015","Del Norte",7.59178208090395e-07,4.65736785418219e-07,7.17327077004441e-07,3.86943076380528e-07,0,17863.7733483557,-38.6525086659542,-46.057650856231,-7.4051421902768
"9","06017","El Dorado",5.14987242597237e-05,3.20277452491578e-05,4.88677792004437e-05,2.67622953244326e-05,0,135351.607494366,-37.808662817292,-45.2352945799722,-7.4266317626802
"10","06019","Fresno",0.0103862129184984,0.00639209439518585,0.00990926875585111,0.00540600074692879,0.576833309059695,581950.645978471,-38.4559661414105,-45.4450083035974,-6.98904216218688
"11","06021","Glenn",3.3344974720799e-06,2.07759799413798e-06,3.15308594966024e-06,1.72198275212302e-06,0,17205.5006991555,-37.6938200873167,-45.3873830395086,-7.69356295219191
